combination_id,best_val_loss,learning_rate,batch_size,d_ff,dropout,d_model,num_encoder_layers,mlp_hidden_layers,mlp_add_output_norm
70,1.235605537891388,0.0001,64,128,0.1,128,3,1,False
21,1.2356365993618965,0.0001,64,64,0.1,128,3,1,True
168,1.2359482571482658,5e-05,64,128,0.1,128,3,2,False
132,1.235975444316864,5e-05,64,64,0.2,64,3,2,False
130,1.236102394759655,5e-05,64,64,0.2,64,3,1,False
138,1.2362600788474083,5e-05,64,64,0.2,128,2,1,False
46,1.2364312335848808,0.0001,64,64,0.2,128,3,1,False
22,1.2365656793117523,0.0001,64,64,0.1,128,3,1,False
108,1.236567609012127,5e-05,64,64,0.1,64,3,2,False
154,1.2366270124912262,5e-05,64,128,0.1,64,3,1,False
179,1.2366687953472137,5e-05,64,128,0.2,64,3,2,True
33,1.2366757467389107,0.0001,64,64,0.2,64,3,1,True
41,1.2371983379125595,0.0001,64,64,0.2,128,2,1,True
141,1.2372747957706451,5e-05,64,64,0.2,128,3,1,True
119,1.2373086512088776,5e-05,64,64,0.1,128,3,2,True
23,1.2374212816357613,0.0001,64,64,0.1,128,3,2,True
95,1.2374714761972427,0.0001,64,128,0.2,128,3,2,True
45,1.2379417642951012,0.0001,64,64,0.2,128,3,1,True
144,1.2379645481705666,5e-05,64,64,0.2,128,3,2,False
87,1.2381086573004723,0.0001,64,128,0.2,128,1,2,True
19,1.2384439334273338,0.0001,64,64,0.1,128,2,2,True
71,1.2390235513448715,0.0001,64,128,0.1,128,3,2,True
142,1.2390310987830162,5e-05,64,64,0.2,128,3,1,False
166,1.239134430885315,5e-05,64,128,0.1,128,3,1,False
94,1.2392414137721062,0.0001,64,128,0.2,128,3,1,False
48,1.2392805516719818,0.0001,64,64,0.2,128,3,2,False
137,1.2398745194077492,5e-05,64,64,0.2,128,2,1,True
169,1.2417921647429466,5e-05,64,128,0.2,64,1,1,True
117,1.2422433346509933,5e-05,64,64,0.1,128,3,1,True
13,1.2425252348184586,0.0001,64,64,0.1,128,1,1,True
39,1.2495298087596893,0.0001,64,64,0.2,128,1,2,True
37,1.2495959550142288,0.0001,64,64,0.2,128,1,1,True
118,1.24962617456913,5e-05,64,64,0.1,128,3,1,False
