Date,PortfolioValue
2022-06-27,0.9133434295654297
2022-06-28,0.8768590092658997
2022-06-29,0.876638650894165
2022-06-30,0.8685935139656067
2022-07-01,0.8700971007347107
2022-07-02,0.8855553269386292
2022-07-03,0.8855553269386292
2022-07-04,0.8855553269386292
2022-07-05,0.8855553269386292
2022-07-06,0.8861564993858337
2022-07-07,0.9012693166732788
2022-07-08,0.9002552032470703
2022-07-09,0.8871481418609619
2022-07-10,0.8871481418609619
2022-07-11,0.8871481418609619
2022-07-12,0.8580653071403503
2022-07-13,0.8549904227256775
2022-07-14,0.8531219959259033
2022-07-15,0.8618528246879578
2022-07-16,0.8574443459510803
2022-07-17,0.8574443459510803
2022-07-18,0.8574443459510803
2022-07-19,0.8857573866844177
2022-07-20,0.907154381275177
2022-07-21,0.9175552725791931
